usuario_id,idade,renda_familiar,regiao,tem_filhos,tipo_residencia,data_cadastro,frequencia_compra,preferencia_entrega,usa_assinatura
1,23,10580.82,Brasília - DF,True,Apartamento,2024-10-28,Semanal,Expressa,True
2,39,6372.39,São Paulo - SP,True,Casa,2024-10-26,Semanal,Expressa,True
3,64,4671.96,Brasília - DF,True,Casa,2024-10-09,Semanal,Expressa,False
4,56,7613.9,São Paulo - SP,False,Casa,2024-04-28,Semanal,Agendada,False
5,39,6408.92,Rio de Janeiro - RJ,True,Apartamento,2024-02-12,Quinzenal,Expressa,False
6,34,6622.18,Porto Alegre - RS,True,Apartamento,2024-07-10,Quinzenal,Agendada,False
7,36,4373.65,Brasília - DF,True,Casa,2024-07-24,Semanal,Agendada,False
8,42,11312.35,São Paulo - SP,True,Casa,2024-01-01,Mensal,Expressa,False
9,34,4541.21,São Paulo - SP,True,Casa,2024-12-20,Quinzenal,Agendada,False
10,55,17343.54,São Paulo - SP,False,Casa,2024-07-29,Semanal,Agendada,True
11,25,3024.09,Brasília - DF,False,Apartamento,2024-07-27,Semanal,Agendada,False
12,24,4741.98,São Paulo - SP,True,Casa,2024-01-26,Semanal,Expressa,False
13,31,10452.53,Belo Horizonte - MG,True,Apartamento,2024-07-02,Semanal,Expressa,True
14,45,4933.31,Belo Horizonte - MG,False,Casa,2024-12-01,Quinzenal,Agendada,False
15,45,2851.65,Rio de Janeiro - RJ,False,Casa,2024-09-25,Semanal,Econômica,False
16,63,6406.35,Belo Horizonte - MG,False,Apartamento,2024-11-05,Quinzenal,Agendada,False
17,52,3179.22,São Paulo - SP,True,Casa,2024-12-30,Semanal,Agendada,True
18,57,3944.62,Rio de Janeiro - RJ,True,Casa,2024-11-24,Semanal,Agendada,True
19,23,5574.79,Brasília - DF,False,Apartamento,2024-03-15,Semanal,Agendada,True
20,43,8980.65,Rio de Janeiro - RJ,True,Casa,2024-03-19,Semanal,Econômica,False
21,37,7306.68,Rio de Janeiro - RJ,False,Apartamento,2024-01-07,Semanal,Expressa,False
22,37,6577.71,São Paulo - SP,True,Apartamento,2024-05-14,Quinzenal,Econômica,False
23,31,10840.23,Rio de Janeiro - RJ,True,Apartamento,2024-05-03,Mensal,Expressa,False
24,22,2500.0,Rio de Janeiro - RJ,False,Apartamento,2024-09-11,Quinzenal,Expressa,True
25,47,7947.04,Brasília - DF,True,Apartamento,2024-04-27,Semanal,Expressa,True
26,36,4164.52,Rio de Janeiro - RJ,True,Casa,2024-01-22,Semanal,Agendada,True
27,31,16617.87,Rio de Janeiro - RJ,True,Apartamento,2024-06-09,Semanal,Expressa,False
28,41,14148.38,São Paulo - SP,True,Apartamento,2024-06-14,Semanal,Expressa,True
29,36,9123.04,São Paulo - SP,True,Casa,2024-08-04,Semanal,Expressa,False
30,45,2500.0,São Paulo - SP,True,Apartamento,2024-04-16,Semanal,Expressa,True
31,54,7589.58,Belo Horizonte - MG,True,Casa,2024-01-22,Semanal,Expressa,True
32,39,4922.72,Porto Alegre - RS,True,Apartamento,2024-09-08,Semanal,Econômica,False
33,48,8247.34,Porto Alegre - RS,True,Casa,2024-06-30,Semanal,Expressa,False
34,42,4066.88,São Paulo - SP,True,Apartamento,2024-03-08,Semanal,Agendada,False
35,30,2953.04,São Paulo - SP,True,Apartamento,2024-04-23,Mensal,Expressa,False
36,48,3764.91,São Paulo - SP,True,Apartamento,2024-02-22,Semanal,Econômica,True
37,60,7229.79,São Paulo - SP,True,Apartamento,2024-03-31,Mensal,Expressa,True
38,59,6701.65,São Paulo - SP,True,Casa,2024-05-02,Quinzenal,Expressa,False
39,35,3174.89,Rio de Janeiro - RJ,True,Apartamento,2024-03-10,Quinzenal,Econômica,True
40,32,4528.19,Curitiba - PR,True,Casa,2024-12-09,Mensal,Expressa,True
41,62,3841.69,Rio de Janeiro - RJ,True,Casa,2024-11-24,Quinzenal,Econômica,False
42,23,3282.42,São Paulo - SP,True,Apartamento,2024-06-03,Semanal,Agendada,True
43,35,11570.48,São Paulo - SP,True,Casa,2024-02-18,Semanal,Agendada,False
44,20,2994.07,São Paulo - SP,True,Apartamento,2024-06-16,Quinzenal,Agendada,False
45,37,9080.18,São Paulo - SP,True,Casa,2024-08-30,Quinzenal,Expressa,True
46,36,4869.74,São Paulo - SP,True,Casa,2024-05-27,Semanal,Agendada,False
47,40,9879.89,São Paulo - SP,True,Apartamento,2024-02-09,Semanal,Econômica,True
48,30,5094.19,Rio de Janeiro - RJ,False,Apartamento,2024-07-11,Quinzenal,Expressa,True
49,61,8022.09,São Paulo - SP,False,Apartamento,2024-05-02,Quinzenal,Expressa,False
50,32,2598.76,São Paulo - SP,False,Casa,2024-11-13,Quinzenal,Expressa,False
51,21,2621.2,Rio de Janeiro - RJ,False,Casa,2024-11-25,Semanal,Agendada,True
52,62,5245.04,São Paulo - SP,True,Apartamento,2024-08-22,Quinzenal,Agendada,True
53,31,5011.43,Porto Alegre - RS,True,Casa,2024-11-26,Semanal,Econômica,True
54,38,4364.05,Porto Alegre - RS,True,Casa,2024-10-28,Semanal,Econômica,False
55,45,5347.12,São Paulo - SP,True,Casa,2024-11-23,Quinzenal,Agendada,False
56,28,6904.39,Belo Horizonte - MG,False,Apartamento,2024-02-08,Quinzenal,Agendada,False
57,44,4849.95,Rio de Janeiro - RJ,True,Apartamento,2024-10-30,Semanal,Expressa,False
58,36,2500.0,São Paulo - SP,True,Apartamento,2024-05-10,Semanal,Expressa,True
59,44,2991.99,Brasília - DF,True,Apartamento,2024-07-11,Semanal,Expressa,True
60,33,5487.99,Curitiba - PR,False,Apartamento,2024-08-07,Semanal,Expressa,False
61,23,9378.92,São Paulo - SP,True,Apartamento,2024-05-03,Quinzenal,Expressa,False
62,55,2500.0,Curitiba - PR,False,Apartamento,2024-12-04,Quinzenal,Agendada,False
63,24,10398.65,São Paulo - SP,True,Casa,2024-07-19,Semanal,Expressa,True
64,34,2516.88,São Paulo - SP,True,Casa,2024-01-05,Quinzenal,Agendada,True
65,21,2500.0,São Paulo - SP,True,Casa,2024-02-07,Mensal,Expressa,False
66,35,13543.38,São Paulo - SP,True,Apartamento,2024-10-21,Mensal,Agendada,False
67,22,2500.0,Rio de Janeiro - RJ,True,Casa,2024-11-21,Semanal,Agendada,False
68,49,7321.9,São Paulo - SP,True,Apartamento,2024-11-15,Semanal,Expressa,False
69,35,7612.82,São Paulo - SP,True,Apartamento,2024-02-18,Semanal,Expressa,False
70,47,5302.04,São Paulo - SP,True,Apartamento,2024-07-15,Mensal,Expressa,True
71,20,5134.22,Rio de Janeiro - RJ,True,Casa,2024-08-22,Semanal,Econômica,True
72,20,6476.87,Rio de Janeiro - RJ,True,Apartamento,2024-12-16,Semanal,Expressa,True
73,46,2860.63,São Paulo - SP,False,Apartamento,2024-06-15,Quinzenal,Agendada,False
74,23,2500.0,Rio de Janeiro - RJ,True,Casa,2024-10-07,Semanal,Econômica,False
75,36,10286.72,Curitiba - PR,True,Casa,2024-11-17,Quinzenal,Agendada,False
76,43,4520.85,São Paulo - SP,True,Apartamento,2024-03-12,Semanal,Econômica,False
77,64,20406.57,Rio de Janeiro - RJ,False,Apartamento,2024-06-14,Quinzenal,Agendada,False
78,44,7309.6,Porto Alegre - RS,True,Casa,2024-12-17,Quinzenal,Expressa,True
79,53,7297.34,Rio de Janeiro - RJ,True,Apartamento,2024-08-11,Semanal,Agendada,False
80,58,4542.35,Belo Horizonte - MG,True,Apartamento,2024-04-03,Mensal,Econômica,True
81,39,2500.0,Brasília - DF,True,Apartamento,2024-04-22,Semanal,Econômica,False
82,63,2500.0,Rio de Janeiro - RJ,False,Apartamento,2024-10-08,Semanal,Expressa,True
83,49,7180.11,Belo Horizonte - MG,False,Casa,2024-04-02,Semanal,Econômica,False
84,33,8204.03,Curitiba - PR,False,Casa,2024-08-04,Semanal,Agendada,False
85,31,7180.24,Rio de Janeiro - RJ,True,Apartamento,2024-10-13,Quinzenal,Expressa,True
86,39,7330.96,Rio de Janeiro - RJ,True,Apartamento,2024-10-19,Quinzenal,Expressa,True
87,33,6297.69,Belo Horizonte - MG,False,Casa,2024-06-26,Mensal,Expressa,False
88,41,5760.75,Belo Horizonte - MG,False,Apartamento,2024-10-07,Quinzenal,Econômica,True
89,47,3996.38,Curitiba - PR,False,Apartamento,2024-09-01,Quinzenal,Expressa,False
90,22,2500.0,Rio de Janeiro - RJ,False,Apartamento,2024-10-25,Semanal,Agendada,False
91,54,2534.55,Porto Alegre - RS,True,Casa,2024-06-26,Mensal,Agendada,False
92,50,14873.96,Belo Horizonte - MG,False,Casa,2024-10-26,Semanal,Expressa,False
93,50,4239.38,São Paulo - SP,False,Apartamento,2024-09-14,Quinzenal,Econômica,True
94,26,6056.38,Rio de Janeiro - RJ,True,Apartamento,2024-06-28,Quinzenal,Agendada,True
95,33,9067.83,Rio de Janeiro - RJ,True,Casa,2024-11-27,Semanal,Agendada,True
96,38,4454.95,Rio de Janeiro - RJ,True,Apartamento,2024-12-22,Semanal,Expressa,True
97,35,4308.33,Brasília - DF,True,Casa,2024-06-18,Semanal,Agendada,False
98,34,3442.58,Porto Alegre - RS,False,Casa,2024-03-03,Semanal,Agendada,True
99,37,3562.37,Porto Alegre - RS,False,Apartamento,2024-05-27,Semanal,Agendada,False
100,26,5346.25,Curitiba - PR,False,Apartamento,2024-12-19,Semanal,Agendada,True
101,21,10148.1,Belo Horizonte - MG,False,Apartamento,2024-04-07,Semanal,Econômica,False
102,60,9261.05,São Paulo - SP,False,Casa,2024-08-08,Mensal,Agendada,False
103,44,8107.13,Belo Horizonte - MG,False,Apartamento,2024-05-30,Quinzenal,Agendada,False
104,32,6153.02,Brasília - DF,False,Casa,2024-10-19,Mensal,Agendada,False
105,64,13448.75,Rio de Janeiro - RJ,False,Casa,2024-05-05,Semanal,Expressa,False
106,29,4891.25,Belo Horizonte - MG,True,Casa,2024-11-06,Mensal,Econômica,False
107,42,8611.13,Porto Alegre - RS,False,Apartamento,2024-12-11,Semanal,Agendada,False
108,24,5404.06,Rio de Janeiro - RJ,True,Casa,2024-10-06,Mensal,Econômica,True
109,28,4384.52,São Paulo - SP,False,Apartamento,2024-11-01,Semanal,Agendada,True
110,35,9080.33,Belo Horizonte - MG,False,Casa,2024-12-18,Semanal,Expressa,False
111,26,3394.44,São Paulo - SP,False,Apartamento,2024-12-02,Quinzenal,Agendada,False
112,33,2500.0,Rio de Janeiro - RJ,True,Apartamento,2024-12-21,Semanal,Agendada,False
113,46,3616.51,Rio de Janeiro - RJ,True,Casa,2024-09-10,Semanal,Econômica,False
114,37,13363.18,Brasília - DF,True,Apartamento,2024-03-02,Quinzenal,Agendada,False
115,48,4539.04,Brasília - DF,False,Casa,2024-09-03,Quinzenal,Agendada,False
116,31,2500.0,São Paulo - SP,True,Casa,2024-11-02,Quinzenal,Expressa,False
117,39,4463.54,Rio de Janeiro - RJ,True,Apartamento,2024-05-17,Quinzenal,Agendada,False
118,39,7889.55,Rio de Janeiro - RJ,True,Casa,2024-10-14,Quinzenal,Expressa,False
119,20,4988.34,Belo Horizonte - MG,True,Casa,2024-07-03,Mensal,Expressa,False
120,36,4902.82,Rio de Janeiro - RJ,True,Apartamento,2024-03-06,Semanal,Agendada,False
121,32,3192.21,Rio de Janeiro - RJ,True,Apartamento,2024-02-07,Semanal,Econômica,True
122,37,4637.46,Belo Horizonte - MG,True,Apartamento,2024-08-30,Quinzenal,Expressa,False
123,28,23551.93,Brasília - DF,False,Casa,2024-11-04,Semanal,Expressa,False
124,37,7237.58,Brasília - DF,False,Apartamento,2024-12-30,Semanal,Agendada,False
125,38,6058.22,Belo Horizonte - MG,False,Apartamento,2024-10-04,Mensal,Expressa,False
126,32,2500.0,Porto Alegre - RS,False,Casa,2024-10-17,Semanal,Agendada,False
127,37,8913.91,São Paulo - SP,False,Apartamento,2024-08-08,Semanal,Expressa,False
128,41,2771.85,Rio de Janeiro - RJ,False,Casa,2024-11-04,Mensal,Agendada,False
129,41,5252.94,Belo Horizonte - MG,True,Casa,2024-04-25,Mensal,Expressa,False
130,23,4244.2,Rio de Janeiro - RJ,True,Apartamento,2024-09-07,Semanal,Expressa,True
131,49,5378.91,São Paulo - SP,True,Casa,2024-01-28,Semanal,Expressa,False
132,34,3944.99,Porto Alegre - RS,False,Apartamento,2024-08-06,Semanal,Econômica,True
133,45,4058.6,São Paulo - SP,True,Casa,2024-04-04,Mensal,Agendada,True
134,51,2500.0,São Paulo - SP,False,Casa,2024-02-03,Semanal,Expressa,True
135,25,14840.37,São Paulo - SP,False,Casa,2024-03-19,Mensal,Expressa,False
136,32,4539.83,São Paulo - SP,True,Apartamento,2024-01-05,Semanal,Econômica,False
137,42,5598.73,Belo Horizonte - MG,False,Apartamento,2024-07-17,Semanal,Expressa,False
138,63,5294.17,Porto Alegre - RS,False,Apartamento,2024-03-20,Semanal,Expressa,False
139,35,2500.0,Brasília - DF,True,Casa,2024-09-17,Semanal,Econômica,False
140,46,4536.62,Rio de Janeiro - RJ,False,Casa,2024-05-11,Semanal,Econômica,False
141,58,4389.2,Rio de Janeiro - RJ,False,Apartamento,2024-01-01,Semanal,Econômica,True
142,48,5144.55,Rio de Janeiro - RJ,False,Apartamento,2024-02-15,Semanal,Agendada,False
143,37,7087.61,São Paulo - SP,True,Apartamento,2024-02-03,Semanal,Econômica,True
144,49,2500.0,Belo Horizonte - MG,True,Casa,2024-11-26,Mensal,Expressa,False
145,52,10601.91,São Paulo - SP,True,Casa,2024-01-11,Semanal,Expressa,False
146,30,3874.08,São Paulo - SP,True,Casa,2024-10-11,Mensal,Expressa,False
147,23,9504.54,Brasília - DF,True,Casa,2024-01-02,Quinzenal,Expressa,True
148,52,6051.82,São Paulo - SP,True,Apartamento,2024-12-06,Semanal,Agendada,True
